day,NR,ZK,ZK_ND,FK,FK_ND,CK
8.5,19.265039999999992,16.216330000000013,21.305910000000008,17.210709999999995,20.977529999999987,20.290420000000005
8.542969000001904,19.271749999999994,16.216480000000015,21.31593000000001,17.213279999999994,20.985859999999988,20.298320000000004
8.582030999998096,19.278399999999994,16.216620000000013,21.32588000000001,17.215809999999994,20.994119999999988,20.306150000000002
8.625,19.284989999999993,16.21676000000001,21.335760000000008,17.218309999999995,21.002309999999987,20.313920000000003
8.667969000001904,19.291519999999995,16.21690000000001,21.34557000000001,17.220769999999995,21.01042999999999,20.321620000000003
8.707030999998096,19.297989999999995,16.21705000000001,21.35531000000001,17.223199999999995,21.01847999999999,20.329250000000002
8.75,19.304399999999994,16.21719000000001,21.36497000000001,17.225589999999993,21.02645999999999,20.336810000000003
8.792969000001904,19.310749999999995,16.217330000000008,21.37455000000001,17.227949999999993,21.03435999999999,20.344300000000004
8.832030999998096,19.812089999999994,16.43482000000001,22.27309000000001,17.661199999999994,21.81523999999999,21.011370000000003
8.875,21.624329999999993,17.63177000000001,26.27291000000001,19.785489999999992,25.26820999999999,23.711130000000004
8.917969000001904,22.348309999999994,18.23398000000001,28.25320000000001,20.849449999999994,26.95149999999999,24.919790000000006
8.957030999998096,22.736539999999994,18.575610000000008,29.41894000000001,21.469169999999995,27.93469999999999,25.595190000000006
9.0,22.987469999999995,18.799620000000008,30.21499000000001,21.887789999999995,28.602799999999988,26.038870000000006
9.042969000001904,23.167419999999996,18.95951000000001,30.80716000000001,22.196089999999995,29.098039999999987,26.358220000000006
9.082030999998096,23.305229999999995,19.080050000000007,31.27342000000001,22.436519999999994,29.486859999999986,26.601940000000006
9.125,23.415589999999995,19.174350000000008,31.655190000000008,22.631579999999996,29.804429999999986,26.795490000000004
9.167969000001904,23.506449999999994,19.249710000000007,31.97536000000001,22.793709999999997,30.070159999999987,26.952920000000006
9.207030999998096,23.583889999999993,19.311640000000008,32.25263000000001,22.932889999999997,30.299799999999987,27.085000000000004
9.25,23.649179999999994,19.361770000000007,32.48961000000001,23.050839999999997,30.49569999999999,27.194380000000006
9.292969000001904,23.707109999999993,19.404210000000006,32.70251000000001,23.15591,30.67135999999999,27.289440000000006
9.332030999998096,23.758489999999995,19.439940000000007,32.89343000000001,23.24936,30.82859999999999,27.371840000000006
9.375,23.803869999999996,19.469710000000006,33.06377000000001,23.33206,30.96865999999999,27.443500000000007
9.417969000001904,23.844359999999995,19.494590000000006,33.217140000000015,23.40592,31.094549999999987,27.50897000000001
9.457030999998096,23.881629999999994,19.515890000000006,33.359560000000016,23.473959999999998,31.21124999999999,27.570660000000007
9.5,23.915929999999996,19.533970000000007,33.491720000000015,23.536599999999996,31.31936999999999,27.628570000000007
9.542969000001904,23.947409999999994,19.549120000000006,33.61393000000002,23.594069999999995,31.41918999999999,27.682610000000007
9.582030999998096,23.976259999999993,19.561630000000005,33.72674000000002,23.646709999999995,31.51117999999999,27.732840000000007
9.625,24.002679999999994,19.571790000000004,33.83076000000002,23.694869999999995,31.595869999999987,27.779410000000006
9.667969000001904,24.027089999999994,19.579930000000004,33.92747000000002,23.739289999999993,31.67447999999999,27.822890000000005
9.707030999998096,24.050169999999994,19.586430000000004,34.01949000000002,23.781229999999994,31.74915999999999,27.864400000000003
9.75,24.071999999999996,19.591440000000002,34.10706000000002,23.820839999999993,31.82011999999999,27.904010000000003
9.792969000001904,24.092609999999997,19.595060000000004,34.19021000000002,23.858159999999994,31.88739999999999,27.941710000000004
9.832030999998096,24.112049999999996,19.597440000000002,34.26907000000002,23.893289999999993,31.95109999999999,27.977520000000005
9.875,24.130359999999996,19.59936,34.343780000000024,23.926319999999993,32.01135999999999,28.011490000000006
9.917969000001904,24.147609999999997,19.60123,34.41451000000002,23.957349999999995,32.068319999999986,28.043680000000005
9.957030999998096,24.163839999999997,19.60302,34.481430000000024,23.986489999999996,32.12211999999999,28.074150000000007
10.0,24.179119999999998,19.60471,34.54472000000003,24.013839999999995,32.17292999999999,28.102980000000006
10.042969000001904,24.19354,19.606270000000002,34.604730000000025,24.039569999999994,32.22101999999999,28.130320000000005
10.082030999998096,24.207379999999997,19.607840000000003,34.662620000000025,24.064199999999992,32.26733999999999,28.156690000000005
10.125,24.220729999999996,19.609320000000004,34.718720000000026,24.08788999999999,32.31215999999999,28.182240000000004
10.167969000001904,24.233589999999996,19.610740000000003,34.773000000000025,24.11063999999999,32.355459999999994,28.206960000000002
10.207030999998096,24.245969999999996,19.612160000000003,34.82548000000003,24.13246999999999,32.39724999999999,28.230850000000004
10.25,24.257869999999997,19.61352,34.87617000000003,24.15339999999999,32.43755999999999,28.253920000000004
10.292969000001904,24.269309999999997,19.614810000000002,34.92511000000003,24.17345999999999,32.47640999999999,28.276180000000004
10.332030999998096,24.280309999999997,19.616100000000003,34.97234000000003,24.192669999999993,32.513849999999984,28.297650000000004
10.375,24.290879999999998,19.617340000000002,35.01790000000003,24.211069999999992,32.54990999999998,28.318340000000003
10.417969000001904,24.301029999999997,19.618550000000003,35.06184000000003,24.228679999999994,32.58461999999998,28.33828
10.457030999998096,24.310769999999998,19.61972,35.104200000000034,24.245529999999995,32.61802999999998,28.357480000000002
10.5,24.32012,19.62084,35.14502000000003,24.261649999999996,32.65016999999998,28.375970000000002
10.542969000001904,24.32909,19.6219,35.18435000000003,24.277059999999995,32.68108999999998,28.393770000000004
10.582030999998096,24.3377,19.62292,35.22224000000003,24.291789999999995,32.71082999999998,28.410900000000005
10.625,24.34597,19.62388,35.25875000000003,24.305879999999995,32.73943999999998,28.427390000000006
10.667969000001904,24.35396,19.62482,35.294160000000026,24.319439999999993,32.76713999999998,28.443360000000006
10.707030999998096,24.36177,19.62578,35.32889000000003,24.332639999999994,32.79425999999998,28.459010000000006
10.75,24.36939,19.62671,35.36292000000003,24.345479999999995,32.82078999999998,28.474320000000006
10.792969000001904,24.376829999999998,19.62761,35.396240000000034,24.357959999999995,32.84672999999998,28.489300000000007
10.832030999998096,24.384079999999997,19.62848,35.428860000000036,24.370089999999994,32.87207999999998,28.503940000000007
10.875,24.391149999999996,19.62936,35.460780000000035,24.381869999999996,32.89683999999998,28.518250000000005
10.917969000001904,24.398039999999995,19.63018,35.49200000000003,24.393309999999996,32.921019999999984,28.532230000000006
10.957030999998096,24.404749999999996,19.631,35.52253000000003,24.404409999999995,32.94462999999998,28.545880000000004
11.0,24.411289999999997,19.63183,35.55237000000003,24.415179999999996,32.967669999999984,28.559210000000004
11.042969000001904,24.417659999999998,19.632640000000002,35.58154000000003,24.425629999999995,32.990149999999986,28.572220000000005
11.082030999998096,24.423859999999998,19.63342,35.61004000000003,24.435769999999994,33.01207999999998,28.584910000000004
11.125,24.429899999999996,19.63416,35.63788000000003,24.445599999999995,33.03346999999998,28.597290000000005
11.167969000001904,24.435779999999998,19.634890000000002,35.66508000000003,24.455139999999997,33.05432999999998,28.609370000000006
11.207030999998096,24.441499999999998,19.635620000000003,35.691640000000035,24.464389999999998,33.074669999999976,28.621150000000007
11.25,24.447069999999997,19.63632,35.71757000000004,24.473349999999996,33.09448999999998,28.632640000000006
11.292969000001904,24.452489999999997,19.63701,35.74289000000004,24.482039999999998,33.11380999999998,28.643840000000004
11.332030999998096,24.457759999999997,19.63768,35.76760000000004,24.49046,33.13263999999998,28.654750000000003
11.375,24.462889999999998,19.63832,35.79172000000004,24.49861,33.15097999999998,28.665380000000003
11.417969000001904,24.467879999999997,19.63896,35.81526000000004,24.50651,33.168849999999985,28.67574
11.457030999998096,24.47273,19.63956,35.83823000000004,24.51416,33.18625999999998,28.685830000000003
11.5,24.477449999999997,19.64017,35.86064000000004,24.52157,33.20321999999998,28.695660000000004
11.542969000001904,24.482039999999998,19.64076,35.88251000000004,24.528750000000002,33.21973999999998,28.705240000000003
11.582030999998096,24.48651,19.64133,35.903880000000036,24.53571,33.23584999999998,28.714590000000005
11.625,24.4909,19.64191,35.924920000000036,24.54251,33.251689999999975,28.723780000000005
11.667969000001904,24.49522,19.64246,35.945710000000034,24.54918,33.26730999999997,28.732840000000007
11.707030999998096,24.49947,19.64301,35.966240000000035,24.55572,33.28270999999997,28.741780000000006
11.75,24.50366,19.64355,35.986500000000035,24.56213,33.29787999999997,28.750590000000006
11.792969000001904,24.50778,19.644080000000002,36.00650000000004,24.56841,33.31282999999997,28.759270000000004
11.832030999998096,24.51183,19.644600000000004,36.02623000000004,24.57456,33.32755999999997,28.767820000000004
11.875,24.51581,19.645130000000005,36.04570000000004,24.58058,33.34205999999997,28.776240000000005
11.917969000001904,24.51973,19.645630000000004,36.06490000000004,24.58648,33.35633999999997,28.784530000000004
11.957030999998096,24.52358,19.646130000000003,36.08384000000004,24.59225,33.37039999999997,28.792690000000004
12.0,24.527359999999998,19.646630000000002,36.10251000000004,24.5979,33.38423999999997,28.800720000000005
12.042969000001904,24.53108,19.64713,36.12092000000004,24.60343,33.39785999999997,28.808630000000004
12.082030999998096,24.53474,19.64761,36.13906000000004,24.60885,33.41125999999997,28.816410000000005
12.125,24.53833,19.64808,36.15694000000004,24.61415,33.42444999999997,28.824070000000006
12.167969000001904,24.54186,19.64856,36.17457000000004,24.619339999999998,33.437419999999975,28.831600000000005
12.207030999998096,24.54533,19.64902,36.19194000000004,24.624409999999997,33.450179999999975,28.839010000000005
12.25,24.54874,19.64947,36.20905000000004,24.629369999999998,33.46272999999997,28.846300000000006
12.292969000001904,24.55209,19.64992,36.22591000000004,24.63423,33.475069999999974,28.853470000000005
12.332030999998096,24.55538,19.650360000000003,36.24252000000004,24.63898,33.487209999999976,28.860520000000005
12.375,24.558609999999998,19.650790000000004,36.25888000000004,24.64362,33.49914999999998,28.867450000000005
12.417969000001904,24.56178,19.651220000000006,36.27499000000004,24.648159999999997,33.51088999999998,28.874270000000006
12.457030999998096,24.56489,19.651640000000004,36.29086000000004,24.652599999999996,33.52242999999998,28.880970000000005
12.5,24.56794,19.652070000000005,36.30649000000004,24.656939999999995,33.533769999999976,28.887560000000004
12.542969000001904,24.57094,19.652460000000005,36.321880000000036,24.661189999999994,33.544919999999976,28.894030000000004
12.582030999998096,24.57388,19.652860000000004,36.337030000000034,24.665339999999993,33.55587999999997,28.900390000000005
12.625,24.57677,19.653250000000003,36.351940000000035,24.669399999999992,33.566649999999974,28.906640000000007
12.667969000001904,24.57961,19.653640000000003,36.36662000000003,24.67335999999999,33.57722999999997,28.912780000000005
12.707030999998096,24.58239,19.654030000000002,36.38107000000003,24.67722999999999,33.58761999999997,28.918820000000004
12.75,24.58512,19.654390000000003,36.39529000000003,24.68101999999999,33.59782999999997,28.924750000000003
12.792969000001904,24.5878,19.654760000000003,36.40928000000003,24.684719999999988,33.607859999999974,28.930570000000003
12.832030999998096,24.59043,19.655110000000004,36.42305000000003,24.688329999999986,33.617709999999974,28.936290000000003
12.875,24.59301,19.655470000000005,36.436600000000034,24.691859999999988,33.62738999999998,28.941910000000004
12.917969000001904,24.59554,19.655810000000006,36.44993000000004,24.69530999999999,33.636899999999976,28.947430000000004
12.957030999998096,24.598019999999998,19.656160000000007,36.46305000000004,24.69867999999999,33.64623999999998,28.952850000000005
13.0,24.600459999999998,19.65650000000001,36.47597000000004,24.70196999999999,33.65541999999998,28.958180000000006
13.042969000001904,24.60286,19.65684000000001,36.48873000000004,24.705199999999987,33.66446999999998,28.963430000000006
13.082030999998096,24.60524,19.65718000000001,36.50140000000004,24.708379999999988,33.67343999999998,28.968630000000005
13.125,24.60759,19.65750000000001,36.513970000000036,24.711519999999986,33.68232999999998,28.973790000000005
13.167969000001904,24.60992,19.65783000000001,36.52645000000003,24.714609999999986,33.69112999999998,28.978900000000003
13.207030999998096,24.61222,19.65815000000001,36.53883000000003,24.717649999999985,33.69984999999998,28.983960000000003
13.25,24.6145,19.65847000000001,36.55111000000003,24.720649999999985,33.70847999999997,28.988970000000002
13.292969000001904,24.61675,19.658790000000007,36.56329000000003,24.723599999999983,33.71702999999997,28.993930000000002
13.332030999998096,24.61898,19.659100000000006,36.57537000000003,24.726509999999983,33.72548999999997,28.99884
13.375,24.62118,19.659400000000005,36.58735000000003,24.72936999999998,33.733869999999975,29.003700000000002
13.417969000001904,24.623359999999998,19.659710000000004,36.59923000000003,24.73218999999998,33.74215999999998,29.00851
13.457030999998096,24.62551,19.660010000000003,36.61101000000003,24.734969999999983,33.750369999999975,29.013270000000002
13.5,24.62764,19.660300000000003,36.62269000000003,24.737699999999982,33.75848999999997,29.01798
13.542969000001904,24.629749999999998,19.660590000000003,36.63427000000003,24.740389999999984,33.766529999999975,29.022640000000003
13.582030999998096,24.631829999999997,19.660890000000002,36.64575000000003,24.743039999999983,33.774479999999976,29.027250000000002
13.625,24.633889999999997,19.66118,36.65713000000003,24.745649999999983,33.78234999999997,29.031810000000004
13.667969000001904,24.63592,19.66147,36.66841000000003,24.748219999999982,33.79013999999997,29.036320000000003
13.707030999998096,24.637929999999997,19.66175,36.67959000000003,24.750749999999982,33.79783999999997,29.040780000000005
13.75,24.639919999999996,19.66203,36.69067000000003,24.753239999999984,33.805459999999975,29.045200000000005
13.792969000001904,24.641879999999997,19.66231,36.701650000000036,24.755689999999984,33.812999999999974,29.049570000000006
13.832030999998096,24.643819999999998,19.66259,36.71252000000003,24.758099999999985,33.82044999999997,29.053890000000006
13.875,24.645729999999997,19.662850000000002,36.723290000000034,24.760469999999984,33.827819999999974,29.058160000000008
13.917969000001904,24.647619999999996,19.663120000000003,36.73396000000003,24.762799999999984,33.83510999999997,29.062380000000008
13.957030999998096,24.649489999999997,19.663390000000003,36.74453000000003,24.765089999999983,33.84231999999997,29.06656000000001
14.0,24.651339999999998,19.663650000000004,36.755010000000034,24.767349999999983,33.84944999999997,29.07069000000001
14.042969000001904,24.653159999999996,19.663920000000005,36.76539000000003,24.769569999999984,33.85649999999997,29.074770000000008
14.082030999998096,24.654959999999996,19.664180000000005,36.775670000000034,24.771749999999983,33.86346999999997,29.078810000000008
14.125,24.656739999999996,19.664440000000006,36.78585000000003,24.773899999999983,33.87035999999997,29.08280000000001
14.167969000001904,24.658499999999997,19.664700000000007,36.795930000000034,24.77600999999998,33.87716999999997,29.08674000000001
14.207030999998096,24.660239999999998,19.664950000000008,36.80591000000003,24.77808999999998,33.88389999999997,29.09064000000001
14.25,24.661949999999997,19.66520000000001,36.81580000000003,24.780129999999982,33.890559999999965,29.09449000000001
14.292969000001904,24.663639999999997,19.66544000000001,36.825590000000034,24.78213999999998,33.897139999999965,29.098300000000012
14.332030999998096,24.665309999999998,19.665680000000012,36.83528000000003,24.78411999999998,33.90363999999997,29.102060000000012
14.375,24.66696,19.665920000000014,36.844870000000036,24.78605999999998,33.91006999999997,29.105780000000014
14.417969000001904,24.66859,19.666150000000012,36.85437000000004,24.78796999999998,33.91641999999997,29.109450000000013
14.457030999998096,24.670199999999998,19.66637000000001,36.86377000000004,24.78984999999998,33.92269999999996,29.113080000000014
14.5,24.671789999999998,19.66660000000001,36.87308000000004,24.79169999999998,33.92889999999996,29.116660000000014
14.542969000001904,24.67336,19.66682000000001,36.88229000000004,24.79351999999998,33.93502999999996,29.120200000000015
14.582030999998096,24.67491,19.667050000000007,36.89141000000004,24.79530999999998,33.941079999999964,29.123700000000014
14.625,24.67644,19.667270000000006,36.90043000000004,24.79705999999998,33.947059999999965,29.127160000000014
14.667969000001904,24.67795,19.667480000000005,36.90936000000004,24.79877999999998,33.952969999999965,29.130570000000013
14.707030999998096,24.67944,19.667700000000004,36.91820000000004,24.80047999999998,33.958809999999964,29.133940000000013
14.75,24.68091,19.667910000000003,36.926940000000045,24.80214999999998,33.964569999999966,29.13727000000001
14.792969000001904,24.68236,19.668120000000002,36.93559000000005,24.803789999999978,33.97025999999997,29.14056000000001
14.832030999998096,24.68379,19.66833,36.94415000000005,24.805399999999977,33.97587999999997,29.143810000000013
14.875,24.6852,19.66852,36.95262000000005,24.806979999999978,33.98142999999997,29.147010000000012
14.917969000001904,24.68659,19.66872,36.961000000000055,24.80852999999998,33.986909999999966,29.150170000000013
14.957030999998096,24.68796,19.66892,36.96929000000006,24.81005999999998,33.992319999999964,29.153290000000013
15.0,24.68931,19.66912,36.97749000000006,24.81155999999998,33.997669999999964,29.156370000000013
15.042969000001904,24.69064,19.66932,36.98560000000006,24.81302999999998,34.00294999999996,29.159420000000015
15.082030999998096,24.691959999999998,19.66952,36.99363000000006,24.81447999999998,34.008169999999964,29.162430000000015
15.125,24.69326,19.66971,37.00158000000006,24.815899999999978,34.01332999999996,29.165400000000016
15.167969000001904,24.69455,19.6699,37.00949000000006,24.817309999999978,34.01844999999996,29.168350000000014
15.207030999998096,24.69583,19.67009,37.01736000000006,24.81869999999998,34.02353999999996,29.171280000000014
15.25,24.697100000000002,19.670279999999998,37.02520000000006,24.82006999999998,34.02858999999996,29.174190000000014
15.292969000001904,24.69836,19.670469999999998,37.033000000000065,24.821429999999978,34.03360999999996,29.177080000000014
15.332030999998096,24.69961,19.670659999999998,37.040770000000066,24.822769999999977,34.03859999999996,29.179950000000016
15.375,24.70085,19.67084,37.04850000000007,24.824099999999977,34.04355999999996,29.182800000000015
15.417969000001904,24.70208,19.67102,37.056190000000065,24.825409999999977,34.048479999999955,29.185630000000014
15.457030999998096,24.7033,19.6712,37.06384000000006,24.826709999999977,34.05336999999996,29.188450000000014
15.5,24.70452,19.67137,37.07145000000006,24.82798999999998,34.05822999999996,29.191250000000014
15.542969000001904,24.70573,19.67154,37.07903000000006,24.82925999999998,34.06304999999996,29.194030000000016
15.582030999998096,24.70693,19.67172,37.08657000000006,24.83050999999998,34.06783999999996,29.196790000000014
15.625,24.70812,19.67189,37.09407000000006,24.83174999999998,34.07259999999996,29.199530000000014
15.667969000001904,24.709300000000002,19.67207,37.10153000000006,24.83296999999998,34.07731999999996,29.202250000000014
15.707030999998096,24.71047,19.672240000000002,37.108950000000064,24.83417999999998,34.082009999999954,29.204950000000014
15.75,24.71163,19.672410000000003,37.11633000000006,24.83537999999998,34.086669999999955,29.207630000000016
15.792969000001904,24.71278,19.672580000000004,37.12367000000006,24.83655999999998,34.09128999999996,29.210290000000015
15.832030999998096,24.713919999999998,19.672740000000005,37.13097000000006,24.83772999999998,34.09587999999996,29.212930000000014
15.875,24.715049999999998,19.672900000000006,37.138230000000064,24.83887999999998,34.100439999999956,29.215550000000015
15.917969000001904,24.716169999999998,19.673070000000006,37.14545000000006,24.840019999999978,34.10496999999996,29.218150000000016
15.957030999998096,24.71728,19.673230000000007,37.15263000000006,24.841149999999978,34.109459999999956,29.220730000000014
16.0,24.71838,19.67339000000001,37.15977000000006,24.84225999999998,34.11391999999996,29.223290000000013
16.042969000001904,24.71947,19.67356000000001,37.16687000000006,24.84335999999998,34.11834999999996,29.225830000000013
16.082030999998096,24.720560000000003,19.67372000000001,37.17393000000006,24.84444999999998,34.12273999999996,29.228350000000013
16.125,24.721640000000004,19.67389000000001,37.18095000000006,24.84551999999998,34.127099999999956,29.230850000000014
16.167969000001904,24.722710000000003,19.674050000000012,37.18793000000006,24.846579999999978,34.13142999999996,29.233330000000013
16.207030999998096,24.723770000000002,19.674210000000013,37.19487000000006,24.847629999999977,34.13571999999996,29.235790000000012
16.25,24.72482,19.674370000000014,37.20177000000006,24.848659999999978,34.13997999999996,29.238230000000012
16.292969000001904,24.72586,19.674530000000015,37.20863000000006,24.849679999999978,34.14420999999996,29.240650000000013
16.332030999998096,24.72689,19.674680000000016,37.21545000000006,24.85068999999998,34.148409999999956,29.243050000000014
16.375,24.72791,19.674830000000018,37.222220000000064,24.85168999999998,34.152569999999955,29.245440000000013
16.417969000001904,24.728920000000002,19.67498000000002,37.22895000000006,24.85266999999998,34.15669999999996,29.247810000000012
16.457030999998096,24.729920000000003,19.67513000000002,37.23564000000006,24.853639999999977,34.16079999999996,29.25016000000001
16.5,24.730920000000005,19.675280000000022,37.24229000000006,24.854599999999976,34.16486999999996,29.252490000000012
16.542969000001904,24.731910000000006,19.67542000000002,37.24890000000006,24.855549999999976,34.16889999999996,29.254800000000014
16.582030999998096,24.732890000000005,19.67557000000002,37.25547000000007,24.856489999999976,34.172899999999956,29.257090000000012
16.625,24.733860000000004,19.67571000000002,37.262000000000064,24.857409999999977,34.17686999999996,29.25936000000001
